Nom, Vietnamese translated by hcmus
九月陶光輝有罪伏誅,cửu nguyệt đào quang huy hữu tội phục tru
光輝乃光饒之子籍父功隂蒙加職爵權禄配以郡主而乃驕弄自恣多行悖逆不道又隂營,quang huy nãi quang nhiêu chi tử tịch phụ công âm mông gia chức tước quyền lộc phối dĩ quận chủ nhi nãi kiêu lộng tự tư đa hành bội nghịch bất đạo hựu âm doanh
居禁地,cư cấm địa
有訴告事𤼵付廷臣議盡得情状論梟首以正條律,hữu tố cáo sự phát phó đình thần nghị tận đắc tình trạng luận kiêu thủ dĩ chính điều luật
王念彼父多有功勞於國降賜絞死併誅其黨兼禄侯鄭楏〇,vương niệm bỉ phụ đa hữu công lao ư quốc hàng tứ giảo tử tính tru kì đảng kiêm lộc hầu trịnh khuê linh
鄕試各處士人,hương thí các xứ sĩ nhân
是時清華處參政武求誨多受銀錢寄托士人爲肆塲奉天府尹吳策論應務試塲潜将文書入塲私使家〇大寫試卷混送入考取中䂓取錢財,thị thì thanh hoa xứ tham chính vũ cầu hối đa thụ ngân tiền ký thác sĩ nhân vi tứ trường phụng thiên phủ doãn ngô sách luận ưng vụ thí trường tiềm tương văn thư nhập trường tư sử gia linh đại tả thí quyển hỗn tống nhập khảo thủ trung quy thủ tiền tài
事覺並加徒刑,sự giác tịnh gia đồ hình
山西處參政黎志道私考士人失實又於塲中以無中卷標名中榜及多寄托士人爲肆塲論罷職,sơn tây xứ tham chính lê chí đạo tư khảo sĩ nhân thất thực hựu ư trường trung dĩ vô trung quyển tiêu danh trung bảng cập đa ký thác sĩ nhân vi tứ trường luận bãi chức
其各府縣校僃類士人,kì các phủ huyện hiệu bị loại sĩ nhân
得實者奬賞失實者貶罰各有差〇,đắc thực giả tưởng thưởng thất thực giả biếm phạt các hữu sai linh
冬十一月會試天下貢士,đông thập nhất nguyệt hội thí thiên hạ cống sĩ
取合格阮公望等五名,thủ hợp cách nguyễn công vọng đẳng ngũ danh
及殿試賜裴光運等並同進士出身〇,cập điện thí tứ bùi quang vận đẳng tịnh đồng tiến sĩ xuất thân linh
十二月考天下士望,thập nhị nguyệt khảo thiên hạ sĩ vọng
取阮洐等三十名除内外任名職〇,thủ nguyễn hành đẳng tam thập danh trừ nội ngoại nhậm danh chức linh
罷參從宰相刑部尙書芳桂侯黎斅東閣校書梅林子張論道等職爵,bãi tham tòng tể tướng hình bộ thượng thư phương quế hầu lê hiệu đông các hiệu thư mai lâm tử trương luận đạo đẳng chức tước
貶吏部左侍郎瑞郡公潘兼全爲太常寺卿侯爵兵部左侍郎桂海侯黎仕澈爲諒山處憲察使職伯爵以其便許勑旨并憑批各衙門吏應務間有多少故也〇,biếm lại bộ tả thị lang thuỵ quận công phan kiêm toàn vi thái thường tự khanh hầu tước binh bộ tả thị lang quế hải hầu lê sĩ triệt vi lạng sơn xứ hiến sát sứ chức bá tước dĩ kì tiện hứa sắc chỉ tịnh bằng phê các nha môn lại ứng vụ gian hữu đa thiểu cố dã linh
以阮國,dĩ nguyễn quốc
櫆爲吏部左侍郎阮曰庶爲吏科都給事中〇,khôi vi lại bộ tả thị lang nguyễn viết thứ vi lại khoa đô cấp sự trung linh
參從宰相兵部尙書川郡公陳登選卒,tham tòng tể tướng binh bộ thượng thư xuyên quận công trần đăng tuyển tốt
登選爲人沉毅端正學識該搏南征之舉參賛軍務籌畫有功,đăng tuyển vi nhân trầm nghị đoan chính học thức cai bác nam chinh chi cử tham tán quân vụ trù hoạ hữu công
至是卒贈户部尙書少保賜謚雅量,chí thị tốt tặng hộ bộ thượng thư thiếu bảo tứ thuỵ nhã lượng
登選安勇黄梅人,đăng tuyển an dũng hoàng mai nhân
陪從兵部尙書少保頴郡公致仕阮悌卒,bồi tòng binh bộ thượng thư thiếu bảo dĩnh quận công trí sĩ nguyễn đễ tốt
贈户部尙書少傅,tặng hộ bộ thượng thư thiếu phó
賜謚惠󰔄,tứ thuỵ huệ ngù
悌玉山禾塲人甲寅三年十月以後改德元元年清康熙十三年春二月令旨訓戒各職司,đễ ngọc sơn hoà trường nhân giáp dần tam niên thập nguyệt dĩ hậu cải đức nguyên nguyên niên thanh khang hi thập tam niên xuân nhị nguyệt lệnh chỉ huấn giới các chức ti
大畧以爲宰相之職在乎進賢退不肖當量才授官度德定立使卿大夫各當其任不,đại lược dĩ vi tể tướng chi chức tại hồ tiến hiền thoái bất tiêu đương lượng tài thụ quan độ đức định lập sứ khanh đại phu các đương kì nhậm bất
得以私心自用,đắc dĩ tư tâm tự dụng
吏部之職在乎權衡人物當察言行觀噐識可爲京官者除京官堪爲守令者銓守令不可徇私取舍,lại bộ chi chức tại hồ quyền hành nhân vật đương sát ngôn hành quan khí thức khả vi kinh quan giả trừ kinh quan kham vi thủ lệnh giả thuyên thủ lệnh bất khả tuẫn tư thủ xá
刑部襨視之官如見重囚付下襨議合公同審讞務以得情爲本不得󰏲滯逾期,hình bộ phức thị chi quan như kiến trọng tù phó hạ phức nghị hợp công đồng thẩm nghiện vụ dĩ đắc tình vi bản bất đắc kê trệ du kỳ
御史耳目之任所以振紀綱而警風采,ngự sử nhĩ mục chi nhiệm sở dĩ chấn kỷ cương nhi cảnh phong thái
凣宰執有過将臣有失百司違法時政有闕並許糾劾陳言,phàm tể chấp hữu quá tướng thần hữu thất bách ti vi pháp thì chính hữu khuyết tịnh hứa củ hặc trần ngôn
提刑監察御史職專諍論審讞案問糾劾察録照刷等事,đề hình giám sát ngự sử chức chuyên tránh luận thẩm nghiện án vấn củ hặc sát lục chiếu xoát đẳng sự
監察御史彈劾之責如見時政有闕百官有過當陳言糾劾,giám sát ngự sử đàn hặc chi trách như kiến thì chính hữu khuyết bách quan hữu quá đương trần ngôn củ hặc
吏科繳,lại khoa chước
駁之任如見吏部銓序非才則論駁封還,bác chi nhiệm như kiến lại bộ thuyên tự phi tài tắc luận bác phong hoàn
刑部亦繳駁之任如見刑部審讞不公亦論駁封還,hình bộ diệc chước bác chi nhậm như kiến hình bộ thẩm nghiện bất công diệc luận bác phong hoàn
提領職掌整理畿内橋梁道路開渠决水救火防姦,đề lĩnh chức chưởng chỉnh lí kì nội kiều lương đạo lộ khai cừ quyết thuỷ cứu hoả phòng gian
府尹彈壓之官如見權貴勢家不等員人驕從游俠弗遵法制許得彈糾懲治,phủ doãn đàn áp chi quan như kiến quyền quý thế gia bất đẳng viên nhân kiêu tòng du hiệp phất tuân pháp chế hứa đắc đàn kiểu trừng trị
鎮守留守職專擒制盗刼防禦姦非當保安方民不得擅置非例職名肆爲民擾,trấn thủ lưu thủ chức chuyên cầm chế đạo kiếp phòng ngự gian phi đương bảo an phương dân bất đắc thiện trí phi lệ chức danh tứ vi dân nhiễu
憲司職掌如見本處災異水旱一體陳言,hiến ti chức chưởng như kiến bản xứ tai dị thuỷ hạn nhất thể trần ngôn
承司府縣肆行違法鎮守留守不禁姦非並許彈劾糾奏又巡行属内兼訪,thừa ti phủ huyện tứ hành vi pháp trấn thủ lưu thủ bất cấm gian phi tịnh hứa đàn hặc kiểu tấu hựu tuần hành thuộc nội kiêm phỏng
疾苦查勘權勢脅捉諸訟,tật khổ tra khám quyền thế hiếp tróc chư tụng
承司膺方面之重寄如見所属官司政治均平應保舉有不如法者糾舉,thừa ti ưng phương diện chi trọng ký như kiến sở thuộc quan ti chính trị quân bình ứng bảo cử hữu bất như pháp giả kiểu cử
郡守民之師帥如見属内縣官有政績稱職者保舉不稱職者糾舉,quận thú dân chi sư soái như kiến thuộc nội huyện quan hữu chính tích xưng chức giả bảo cử bất xứng chức giả kiểu cử
縣令親民之官當存心撫字勸課農桑興便除害留意敎化使仁讓風行告訐俗易其義婦孝子亦當輔達旌表以厚風俗,huyện lệnh thân dân chi quan đương tồn tâm phủ tự khuyến khoá nông tang hưng tiện trừ hại lưu ý giáo hoá sử nhân nhượng phong hành cáo kiết tục dị kì nghĩa phụ hiếu tử diệc đương phụ đạt tinh biểu dĩ hậu phong tục
凣内外各衙門官如見本吏某人奉公守法廉勤練達年月積累無有過犯者保舉之某人恣行貪冗志在䂓財怠慢廢事有過犯者,phàm nội ngoại các nha môn quan như kiến bản lại mỗ nhân phụng công thủ pháp liêm cần luyện đạt niên nguyệt tích luỹ vô hữu quá phạm giả bảo cử chi mỗ nhân tứ hành tham nhũng chí tại quy tài đãi mạn phế sự hữu quá phạm giả
即糾𮞏斥去〇,tức củ đệ xích khứ linh
三月以王嫡孫副将鄭栐爲左都督〇,tam nguyệt dĩ vương đích tôn phó tướng trịnh 栐 vi tả đô đốc linh
夏五月初九日陪從吏部左侍郎蓮池子阮國櫆卒,hạ ngũ nguyệt sơ cửu nhật bồi tòng lại bộ tả thị lang liên trì tử nguyễn quốc khôi tốt
國櫆爲人慷慨敢言,quốc khôi vi nhân khảng khái cảm ngôn
訃聞上深爲哀悼贈兵部尙書池郡公賜謚剛忠,phó văn thượng thâm vi ai điệu tặng binh bộ thượng thư trì quận công tứ thuỵ cương trung
國櫆青池月盎人〇,quốc khôi thanh trì nguyệt áng nhân linh
以黎斅爲兵部左侍郎潘兼全爲刑部左侍郎黎仕澈爲工部左侍郎,dĩ lê hiệu vi binh bộ tả thị lang phan kiêm toàn vi hình bộ tả thị lang lê sĩ triệt vi công bộ tả thị lang
先是斅等綠事既罷貶,tiên thị hiệu đẳng lục sự ký bãi biếm
至是復用之〇,chí thị phục dụng chi linh
六月六日太白畫見與日爭光〇,lục nguyệt lục nhật thái bạch hoạ kiến dữ nhật tranh quang linh
賜碩忠侯黎時海郡公爵〇,tứ thạc trung hầu lê thời hải quận công tước linh
秋七月十八日帝以王世子節制太尉宜國公鄭根功望隆,thu thất nguyệt thập bát nhật đế dĩ vương thế tử tiết chế thái uý nghi quốc công trịnh căn công vọng long
重晉封爲元帥典國政定南王,trọng tấn phong vi nguyên soái điển quốc chính định nam vương
其󰀋文曰皇天生賢聖之才所以壽至治人君優尊貴之禮所以表殊勳亶協榖辰載敭華󰀋,kì sách văn viết hoàng thiên sinh hiền thánh chi tài sở dĩ thọ chí trị nhân quân ưu tôn quý chi lễ sở dĩ biểu thù huân đản hiệp cốc thần tải dương hoa sách
特進開府欽差節制各處水部諸營兼總政柄太尉宜國公鄭根英䧺盖世氣象過人,đặc tiến khai phủ khâm sai tiết chế các xứ thuỷ bộ chư doanh kiêm tổng chính bính thái uý nghi quốc công trịnh căn anh hùng cái thế khí tượng quá nhân
昔先君恢復舊疆多頼前王經綸屯亨之力暨朕躬光膺景命全資師父造就󰌩養之功保國永奠鴻圖傳家深貽燕翼睠,tích tiên quân khôi phục cựu cương đa lại tiền vương kinh luân đồn hanh chi lực kị trẫm cung quang ưng cảnh mệnh toàn tư sư phụ tạo tựu mông dưỡng chi công bảo quốc vĩnh điện hồng đồ truyền gia thâm di yến dực quyến
惟王嗣克暢皇猷任征伐則南鋤阮孽北掃莫徒功特髙宇宙總政柄則内安中國外服遠,duy vương tự khắc sướng hoàng du nhiệm chinh phạt tắc nam sừ nguyễn nghiệt bắc tảo mạc đồ công đặc cao vũ trụ tổng chính bính tắc nội an trung quốc ngoại phục viễn
裔德彌暎乾坤,duệ đức di ánh càn khôn
望久孚四海之心位當冠百僚之首,vọng cửu phu tứ hải chi tâm vị đương quan bách liêu chi thủ
特遣特進金紫榮祿大夫參從吏部尙書兼東閣大學士國老參預朝政掌六部事太保燕郡公范公著捧賫金󰀋玉章普封元帥典國政定南王榮如圭瓚用啓宇田尙其受命承休乘彛慎位政詳典章法度悋守成䂓德得位禄壽名誕膺申眷賛皇家緒綿於有永衍王室業保於無疆,đặc khiến đặc tiến kim tử vinh lộc đại phu tham tòng lại bộ thượng thư kiêm đông các đại học sĩ quốc lão tham dự triều chính chưởng lục bộ sự thái bảo yến quận công phạm công trước phủng tê kim sách ngọc chương phổ phong nguyên soái điển quốc chính định nam vương vinh như khuê toản dụng khải vũ điền thượng kì thụ mệnh thừa hưu thừa di thận vị chính tường điển chương pháp độ lận thủ thành quy đức đắc vị lộc thọ danh đản ưng thân quyến tán hoàng gia tự miên ư hữu vĩnh diễn vương thất nghiệp bảo ư vô cương
王其欽哉〇,vương kì khâm tai linh
旨准目今王府領布命令曰令諭臣民進啓者曰謹啓聞,chỉ chuẩn mục kim vương phủ lĩnh bố mệnh lệnh viết lệnh dụ thần dân tiến khải giả viết cẩn khải văn
副王府布令,phó vương phủ bố lệnh
曰令旨進啓者曰謹啓〇,viết lệnh chỉ tiến khải giả viết cẩn khải linh
八月王諭定南王曰王者創業垂統必貽厥嘉猷世嫡繼體守成當遵其善法,bát nguyệt vương dụ định nam vương viết vương giả sáng nghiệp thuỳ thống tất di quyết gia du thế đích kế thể thủ thành đương tuân kì thiện pháp
兹我承家丕緒攬國大權修王業紹先王積累之基興起治功討安天下賛聖皇承列聖繼傳之統謐寧海宇磐奠國家泰山安保鴻圖豊󱘬謀深燕翼,tư ngã thừa gia phi tự lãm quốc đại quyền tu vương nghiệp thiệu tiên vương tích luỹ chi cơ hưng khởi trị công thảo an thiên hạ tán thánh hoàng thừa liệt thánh kế truyền chi thống mật ninh hải vũ bàn điện quốc gia thái sơn an bảo hồng đồ phong quanh mưu thâm yến dực
於庚子年已奉加開府位委總政,ư canh tử niên dĩ phụng gia khai phủ vị uỷ tổng chính
機乃能志愛君親明習機務典司庶政令簡肅中外悅徒經營四方威震耀藩侯賓服,cơ nãi năng chí ái quân thân minh tập cơ vụ điển ti thứ chính lệnh giản túc trung ngoại duyệt đồ kinh doanh tứ phương uy chấn diệu phiên hầu tân phục
功寔多社稷寄堪任生民,công thực đa xã tắc ký kham nhậm sinh dân
我仍奏知皇上欽遵,ngã nhưng tấu tri hoàng thượng khâm tuân
勑旨,sắc chỉ
晉封王爵授以統裁國家庶務内統百官外均四海,tấn phong vương tước thụ dĩ thống tài quốc gia thứ vụ nội thống bách quan ngoại quân tứ hải
位至隆至重謀是訓是行,vị chí long chí trọng mưu thị huấn thị hành
今其知業保以成幾圖不忽防非室󱘥正心脩身一言一行祖宗之懿德,kim kỳ tri nghiệp bảo dĩ thành kỷ đồ bất hốt phòng phi thất vuốt chính tâm tu thân nhất ngôn nhất hành tổ tông chi ý đức
是遵一政一令祖宗之成䂓是述,thị tuân nhất chính nhất lệnh tổ tông chi thành quy thị thuật
日與親勳大臣文武百官協同心德共求治理區處世務以興太平,nhật dữ thân huân đại thần văn võ bách quan hiệp đồng tâm đức cộng cầu trị lí khu xứ thế vụ dĩ hưng thái bình
官人則量才能課功狀使官皆稱其職求賢則察言行試政事使賢咸登于朝任,quan nhân tắc lượng tài năng khoá công trạng sử quan giai xưng kì chức cầu hiền tắc sát ngôn hành thí chính sự sử hiền hàm đăng vu triều nhiệm
将則御以恩威使将咸樂爲用愛民則省其征役使民皆遂有生,tướng tắc ngự dĩ ân uy sứ tướng hàm lạc vi dụng ái dân tắc tỉnh kì chinh dịch sứ dân giai toại hữu sinh
爵賞刑罰之權公,tước thưởng hình phạt chi quyền công
操信必禮樂教化之本加務詳明,thao tín tất lễ lạc giáo hoá chi bản gia vụ tường minh
如是則政事得以脩紀綱得以振文德洽而武功成中國安而外夷服,như thị tắc chính sự đắc dĩ tu kỷ cương đắc dĩ chấn văn đức hiệp nhi vũ công thành trung quốc an nhi ngoại di phục
䂓模混一宗社久長以衍意萬年惟王之業尙其敬之以副我委任傳授之意,quy mô hỗn nhất tông xã cửu trường dĩ diễn ý vạn niên duy vương chi nghiệp thượng kì kính chi dĩ phó ngã uỷ nhiệm truyền thụ chi ý
兹論,tư luận
帝尊封親生母黎氏玉環爲昭儀〇,đế tôn phong thân sinh mẫu lê thị ngọc hoàn vi chiêu nghi linh
冬十月改元德元,đông thập nguyệt cải nguyên đức nguyên
旨准推恩武班陞次,chỉ chuẩn suy ân vũ ban thăng thứ
太傅溪郡公鄭杖秉郡公鄭󱘦莅郡公鄭棟等並爲太宰少尉廉郡公鄭榩豪郡公黎時憲等並爲太傅少尉安郡公鄭橏兼郡公鄭樹少傅奠郡公,thái phó khê quận công trịnh trượng bỉnh quận công trịnh đá lị quận công trịnh đống đẳng tịnh vi thái tể thiếu uý liêm quận công trịnh kiền hào quận công lê thời hiến đẳng tịnh vi thái phó thiếu uý an quận công trịnh thiện kiêm quận công trịnh thụ thiếu phó điện quận công
鄭楃等並爲太保恩郡公鄭棉爲少尉左都督副将良郡公鄭栐爲少傅濯郡公鄭槏禄郡公丁文左等並爲少保詠郡公譚景堅纘郡公鄭𣛧燕郡公鄭柳等並爲右都督副将派澤侯鄭榆爲都督同知郡公爵副将謙郡公鄭椽爲都督僉事,trịnh ác đẳng tịnh vi thái bảo ân quận công trịnh miên vi thiếu uý tả đô đốc phó tướng lương quận công trịnh 栐 vi thiếu phó trạc quận công trịnh liêm lộc quận công đinh văn tả đẳng tịnh vi thiếu bảo vịnh quận công đàm cảnh kiên toản quận công trịnh chuôm yến quận công trịnh liễu đẳng tịnh vi hữu đô đốc phó tướng phái trạch hầu trịnh du vi đô đốc đồng tri quận công tước phó tướng khiêm quận công trịnh chuyên vi đô đốc thiêm sự
其餘各陞職爵有差〇,kỳ dư các thăng chức tước hữu sai linh
廢潘兼全爲庶人送歸清華鎮居住以其累行事犯故也,phế phan kiêm toàn vi thứ nhân tống quy thanh hoa trấn cư trú dĩ kì luỵ hành sự phạm cố dã
又以黎斅黎仕澈等黨與兼全貶,hựu dĩ lê hiệu lê sĩ triệt đẳng đảng dữ kiêm toàn biếm
斅爲興化處參政仕澈爲太原處憲察使〇,hiệu vi hưng hoá xứ tham chính sĩ triệt vi thái nguyên xứ hiến sát sử linh
十二月吏部右侍郎,thập nhị nguyệt lại bộ hữu thị lang
申全等除内外任各職一千二百三十九員名〇,thân toàn đẳng trừ nội ngoại nhậm các chức nhất thiên nhị bách tam thập cửu viên danh linh
貶乂安處參政梁實爲東閣校書以其抑取士人銀錢故也,biếm nghệ an xứ tham chính lương thực vi đông các hiệu thư dĩ kì ức thủ sĩ nhân ngân tiền cố dã
乙卯德元二年清康熙十四年春三月使臣阮荗材胡士揚等回國〇,ất mão đức nguyên nhị niên thanh khang hi thập tứ niên xuân tam nguyệt sứ thần nguyễn mậu tài hồ sĩ dương đẳng hồi quốc linh
夏四月三日帝崩,hạ tứ nguyệt tam nhật đế băng
群臣上尊號曰寬明敏達英果徽柔克仁篤義羙皇帝廟號嘉宗〇,quần thần thượng tôn hiệu viết khoan minh mẫn đạt anh quả huy nhu khắc nhân đốc nghĩa mĩ hoàng đế miếu hiệu gia tông linh
論奉使功以阮荗材爲刑部尙書子爵胡士揚爲工部尙書郡公爵陶公正爲刑部右侍郎武公道爲工部右侍郎並男爵武惟,luận phụng sứ công dĩ nguyễn mậu tài vi hình bộ thượng thư tử tước hồ sĩ dương vi công bộ thượng thư quận công tước đào công chính vi hình bộ hữu thị lang võ công đạo vi công bộ hữu thị lang tịnh nam tước vũ duy
諧爲東閣大學士子爵〇,hài vi đông các đại học sĩ tử tước linh
六月奉嘉宗羙皇帝梓宫回塟于福安陵立天寧殿奉事從生母昭儀故鄕也,lục nguyệt phụng gia tông mĩ hoàng đế tử cung hồi táng vu phúc an lăng lập thiên ninh điện phụng sự tòng sinh mẫu chiêu nghi cố hương dã
是時王與正妃親行拜哭禮極其哀慟,thị thì vương dữ chính phi thân hành bái khốc lễ cực kì ai đỗng
定南王亦親送至江津行禮曲盡哀敬,định nam vương diệc thân tống chí giang tân hành lễ khúc tận ai kính
文武臣僚見者流涕〇,văn võ thần liêu kiến giả lưu thế linh
十二日皇弟維祫即皇帝位,thập nhị nhật hoàng đệ duy hợp tức hoàng đế vị
初神宗臨崩嘱與王曰宮人鄭氏玉󱘬懷妊方四月間未卜男女尙頼王其保護之,sơ thần tông lâm băng chúc dữ vương viết cung nhân trịnh thị ngọc quanh hoài nhâm phương tứ nguyệt gian vị bốc nam nữ thượng lại vương kì bảo hộ chi
及生而體貌奇偉年九歲王育之于府中,cập sinh nhi thể mạo kỳ vĩ niên cửu tuế vương dục chi vu phủ trung
至是王親扶登殿即皇帝位改元以明年正月爲永治元年,chí thị vương thân phù đăng điện tức hoàng đế vị cải nguyên dĩ minh niên chính nguyệt vi vĩnh trị nguyên niên
大,đại
赦〇,xá linh
定六部職掌事例,định lục bộ chức chưởng sự lệ
吏部掌官爵封賜銓選考課黜陟之政填充補給之事,lại bộ chưởng quan tước phong tứ thuyên tuyển khảo khoá truất trắc chi chính điền sung bổ cấp chi sự
户部掌土地人民倉厙錢糧調𤼵之政禄食貢賦盐鐵之事,hộ bộ chưởng thổ địa nhân dân thương khố tiền lương điều phát chi chính lộc thực cống phú diêm thiết chi sự
禮部掌禮儀祠祭󰆑宴學校科舉之政衣冠印符章表貢使朝覲之節兼總司天醫卜及僧道教坊同文雅樂之属,lễ bộ chưởng lễ nghi từ tế khánh yến học hiệu khoa cử chi chính y quan ấn phù chương biểu cống sứ triều cận chi tiết kiêm tổng ti thiên y bốc cập tăng đạo giáo phường đồng văn nhã nhạc chi thuộc
兵部掌兵戒禁衛車馬儀仗噐械之政邊夷鎮戎驛庯險要緊急之事,binh bộ chưởng binh giới cấm vệ xa mã nghi trượng khí giới chi chính biên di trấn nhung dịch phố hiểm yếu khẩn cấp chi sự
刑部掌律令刑法按襨獄訟之政治五刑之罪,hình bộ chưởng luật lệnh hình pháp án phức ngục tụng chi chính trị ngũ hình chi tội
工部掌城池橋梁道路土木工匠之政繕修營造之,công bộ chưởng thành trì kiều lương đạo lộ thổ mộc công tượng chi chính thiện tu doanh tạo chi
事山林園苑川澤之禁〇,sự sơn lâm viên uyển xuyên trạch chi cấm linh
秋七月以武惟志爲户部尙書阮荗材爲兵部尙書申全為御史󰉟都御史鄧公瓆爲吏部左侍郎黎榮爲户部左侍郎阮公璧爲禮部左侍郎同存澤爲工部左侍郎阮名實爲吏部右侍郎武惟諧爲兵部右侍郎裴廷員爲刑部右侍郎〇,thu thất nguyệt dĩ vũ duy chí vi hộ bộ thượng thư nguyễn mậu tài vi binh bộ thượng thư thân toàn vi ngự sử đài đô ngự sử đặng công chất vi lại bộ tả thị lang lê vinh vi hộ bộ tả thị lang nguyễn công bích vi lễ bộ tả thị lang đồng tồn trạch vi công bộ tả thị lang nguyễn danh thực vi lại bộ hữu thị lang vũ duy hài vi binh bộ hữu thị lang bùi đình viên vi hình bộ hữu thị lang linh
九月鎮守乂安處兼鎮布政州統率官左中軍營副将太尉豪郡公黎時憲卒,cửu nguyệt trấn thủ nghệ an xứ kiêm trấn bố chính châu thống suất quan tả trung quân doanh phó tướng thái uý hào quận công lê thời hiến tốt
時憲爲人智畧勇敢有機變才治軍號令嚴肃每出征伐數立奇功年六十有,thời hiến vi nhân trí lược dũng cảm hữu cơ biến tài trị quân hiệu lệnh nghiêm túc mỗi xuất chinh phạt số lập kỳ công niên lục thập hữu
六卒,lục tốt
于鎮贈太宰賜謚嚴智褒封爲福神立祠祭祀,vu trấn tặng thái tể tứ thuỵ nghiêm trí bao phong vi phúc thần lập từ tế tự
時憲雷陽福豪人〇,thời hiến lôi dương phúc hào nhân linh
命右都督燕郡公鄭柳鎮守乂安處兼鎮布政州〇,mệnh hữu đô đốc yến quận công trịnh liễu trấn thủ nghệ an xứ kiêm trấn bố chính châu linh
命阮公璧陶公正入侍經筵〇,mệnh nguyễn công bích đào công chính nhập thị kinh diên linh
貶僉都御史杜善政爲户科都給事中以其勘訟失當故也〇,biếm thiêm đô ngự sử đỗ thiện chính vi hộ khoa đô cấp sự trung dĩ kì khám tụng thất đương cố dã linh
冬十月吏部尙書兼東閣大學士國老參預朝政掌六部事太保燕郡公范公著卒,đông thập nguyệt lại bộ thượng thư kiêm đông các đại học sĩ quốc lão tham dự triều chính chưởng lục bộ sự thái bảo yến quận công phạm công trước tốt
公著爲人深沉簡重行有操術輔王於潜邸日籌畫居多當國日久法度屢有建明年七十有六卒,công trước vi nhân thâm trầm giản trọng hành hữu thao thuật phụ vương ư tiềm để nhật trù hoạ cư đa đương quốc nhật cửu pháp độ lũ hữu kiến minh niên thất thập hữu lục tốt
贈太宰賜謚忠勤,tặng thái tể tứ thuỵ trung cần
公著唐豪遼川人,công trước đường hào liêu xuyên nhân
十一月鄕試各處士人〇,thập nhất nguyệt hương thí các xứ sĩ nhân linh
十二月旱〇,thập nhị nguyệt hạn linh
以范質爲刑部左侍郎武惟諧爲御史󰉟副都御史阮曰庶爲僉都御史韶仕琳爲吏科都給事中,dĩ phạm chất vi hình bộ tả thị lang vũ duy hài vi ngự sử đài phó đô ngự sử nguyễn viết thứ vi thiêm đô ngự sử thiều sĩ lâm vi lại khoa đô cấp sự trung
大越史記本紀續編卷之十九終,đại việt sử ký bản kỷ tục biên quyển chi thập cửu chung
士󰡴燕冷󰜑空,sĩ xè yến lãnh lầu không
𦹵𬅉󰘚坦𦼔封𨁪𩌂,cỏ làn mạt thản lều phong dẫu giầy
𡳳墻核㭲木苔,gót tường hạch cấp mộc đài
𠫾󰡲尼仍𫮇尼𢆥㧅,đị về ni nhưng cõi ni niên neo
冬觥冷眼如詞,đông quanh lãnh nhãn như từ
浽念心事悲除𠳨埃,mỗi niệm tâm sự bi trừ mọi ai
郎盈󰡏几𨖅󱉁,lang doanh có kỉ lang chơi
燐󰑼仕𠳨𠬠𠄩事情,lân trả sĩ mọi một hai sự tình
𠳨翁翁默訟庭,mọi ông ông mặc tụng đình
𠳨娘娘㐌半𠇮贖吒,mọi nương nương đà bán mệnh chuộc cha
𠳨茹茹㐌移賒,mọi nhự nhự đà di xa
𠳨払王󰞹拱󰑼翠雲,mọi bật vương quan củng trả thuý vân
調尼沙卒庫巾,điệu ni sa tốt khố cân
税埋半曰劍咹吝回,thuế mai bán viết kiếm ăn lận hồi
調󰠲𩂶打𦝄𡗶,điệu đẩu sét đả dăng giơì
脱𦖑払脱拥移掣包,thoát tai bật thoát ủng di xế bao
倍嘆移住尼芇,bội thán di trú ni náo
打塘払買尋𠓨羡尼,đả đường bật mãi tầm bao tiện ni
茹棦壁坦左哉,nhự chanh bích thản tả tai
𦰤撩簾󰞺竹掑𤗹䜹,lô liêu liêm nát trúc kì phên thưa
𠬠𡑝坦𦹵滛湄,một sân thản cỏ dâm my
強嗷喭浽強魚󰡢󰟯,cường ngao ngạn tuy cường ngư ngẩn dường
打料𨖲㗂外墻,đả liệu sen sảnh ngoại tường
払王𦖑㗂倍傍𧼋𦋦,bật vương nghi sảnh bội bạng chạy la
𢴑𢬣倍逴𠓨茹,lắt tây bội trác bèo nhự
𠃅楼員外𪪳󰜏𦋦𣦍,mé lâu viên ngoại ông bà rả ngay
哭嘆計歇念西,khốc thán kế yết niệm tây
夜臺群別仕填耒生,dạ đài quần biệt sĩ điền lỗi sinh
群碎碎𠬠吸娘買催,quần toái toái một hấp nương mãi thôi
浽傷呐󰝸歇𠳒,tuy thương nột chăng hiết lờị
謝辞生買湥洡跙𦋦,tạ từ sinh mãi thốc giội trở la
倍󰡲所准園花,bội về sở chuẩn viên hoa
連𠶆員外𪪳󰜏拱𨖅,liên mời viên ngoại ông bà củng lang
晨昏針拙礼常,thần hôn châm chuyết lễ thường
养親台𬌓𢚸娘𣈜初,dưỡng thân thai tấm nàng nương ngay sơ
叮咛埋湥劄詩,đinh ninh mai thốc tráp thi
割㝵尋隊迻詞𠴍㖇,cát đắc tầm đội đưa từ nhẫn nhị
別包功摱𧵑税,biệt bao công muợn cổ thuế
臨淄󰋇度𠫾󰡲埮𣾺,lâm truy mẩy độ đị về đàm khơi
㝵𠬠尼𠳨𠬠尼,đắc một ni mọi một ni
溟濛芇別𣷭𡗶尼芇,minh mông náo biệt bẻ giơì ni náo
生強惨切渴滈,sinh cường thảm thiết khát hạo
如燶肝鉄如鉋𢚸𣘈,như nồng can thiết như bạo nàng son
